문제명,출처,레벨,완료한사람,정답률,url
아이스 아메리카노,코딩테스트 입문,Lv. 0,"53,928명",90%,https://school.programmers.co.kr/learn/courses/30/lessons/120819
옷가게 할인 받기,코딩테스트 입문,Lv. 0,"46,900명",90%,https://school.programmers.co.kr/learn/courses/30/lessons/120818
배열의 평균값,코딩테스트 입문,Lv. 0,"73,563명",90%,https://school.programmers.co.kr/learn/courses/30/lessons/120817
피자 나눠 먹기 (3),코딩테스트 입문,Lv. 0,"52,551명",90%,https://school.programmers.co.kr/learn/courses/30/lessons/120816
피자 나눠 먹기 (2),코딩테스트 입문,Lv. 0,"36,047명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/120815
피자 나눠 먹기 (1),코딩테스트 입문,Lv. 0,"60,208명",90%,https://school.programmers.co.kr/learn/courses/30/lessons/120814
짝수는 싫어요,코딩테스트 입문,Lv. 0,"51,198명",90%,https://school.programmers.co.kr/learn/courses/30/lessons/120813
최빈값 구하기,코딩테스트 입문,Lv. 0,"32,987명",71%,https://school.programmers.co.kr/learn/courses/30/lessons/120812
중앙값 구하기,코딩테스트 입문,Lv. 0,"53,843명",89%,https://school.programmers.co.kr/learn/courses/30/lessons/120811
나머지 구하기,코딩테스트 입문,Lv. 0,"92,078명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/120810
배열 두 배 만들기,코딩테스트 입문,Lv. 0,"63,210명",89%,https://school.programmers.co.kr/learn/courses/30/lessons/120809
분수의 덧셈,코딩테스트 입문,Lv. 0,"42,963명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/120808
숫자 비교하기,코딩테스트 입문,Lv. 0,"99,916명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/120807
두 수의 나눗셈,코딩테스트 입문,Lv. 0,"88,606명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/120806
몫 구하기,코딩테스트 입문,Lv. 0,"103,830명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/120805
두 수의 곱 구하기,코딩테스트 입문,Lv. 0,"107,471명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/120804
두 수의 차 구하기,코딩테스트 입문,Lv. 0,"108,669명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/120803
두 수의 합 구하기,코딩테스트 입문,Lv. 0,"101,097명",90%,https://school.programmers.co.kr/learn/courses/30/lessons/120802
머쓱이보다 키 큰 사람,코딩테스트 입문,Lv. 0,"55,869명",90%,https://school.programmers.co.kr/learn/courses/30/lessons/120585
중복된 숫자 개수,코딩테스트 입문,Lv. 0,"53,409명",89%,https://school.programmers.co.kr/learn/courses/30/lessons/120583
행렬과 연산,2022 KAKAO TECH INTERNSHIP,Lv. 4,"1,304명",14%,https://school.programmers.co.kr/learn/courses/30/lessons/118670
등산코스 정하기,2022 KAKAO TECH INTERNSHIP,Lv. 3,"4,433명",32%,https://school.programmers.co.kr/learn/courses/30/lessons/118669
코딩 테스트 공부,2022 KAKAO TECH INTERNSHIP,Lv. 3,"3,939명",28%,https://school.programmers.co.kr/learn/courses/30/lessons/118668
두 큐 합 같게 만들기,2022 KAKAO TECH INTERNSHIP,Lv. 2,"16,986명",57%,https://school.programmers.co.kr/learn/courses/30/lessons/118667
성격 유형 검사하기,2022 KAKAO TECH INTERNSHIP,Lv. 1,"27,443명",55%,https://school.programmers.co.kr/learn/courses/30/lessons/118666
사라지는 발판,2022 KAKAO BLIND RECRUITMENT,Lv. 3,"2,223명",17%,https://school.programmers.co.kr/learn/courses/30/lessons/92345
파괴되지 않은 건물,2022 KAKAO BLIND RECRUITMENT,Lv. 3,"7,103명",44%,https://school.programmers.co.kr/learn/courses/30/lessons/92344
양과 늑대,2022 KAKAO BLIND RECRUITMENT,Lv. 3,"8,659명",42%,https://school.programmers.co.kr/learn/courses/30/lessons/92343
양궁대회,2022 KAKAO BLIND RECRUITMENT,Lv. 2,"10,529명",39%,https://school.programmers.co.kr/learn/courses/30/lessons/92342
주차 요금 계산,2022 KAKAO BLIND RECRUITMENT,Lv. 2,"22,253명",61%,https://school.programmers.co.kr/learn/courses/30/lessons/92341
k진수에서 소수 개수 구하기,2022 KAKAO BLIND RECRUITMENT,Lv. 2,"19,828명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/92335
신고 결과 받기,2022 KAKAO BLIND RECRUITMENT,Lv. 1,"40,826명",42%,https://school.programmers.co.kr/learn/courses/30/lessons/92334
피로도,완전탐색,Lv. 2,"33,890명",68%,https://school.programmers.co.kr/learn/courses/30/lessons/87946
아이템 줍기,깊이/너비 우선 탐색(DFS/BFS),Lv. 3,"9,870명",31%,https://school.programmers.co.kr/learn/courses/30/lessons/87694
쿼리의 모음의 개수,월간 코드 챌린지 시즌3,Lv. 5,51명,0%,https://school.programmers.co.kr/learn/courses/30/lessons/87394
공 이동 시뮬레이션,월간 코드 챌린지 시즌3,Lv. 3,"1,261명",23%,https://school.programmers.co.kr/learn/courses/30/lessons/87391
n^2 배열 자르기,월간 코드 챌린지 시즌3,Lv. 2,"19,547명",69%,https://school.programmers.co.kr/learn/courses/30/lessons/87390
나머지가 1이 되는 수 찾기,월간 코드 챌린지 시즌3,Lv. 1,"65,736명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/87389
교점에 별 만들기,위클리 챌린지,Lv. 2,"6,206명",34%,https://school.programmers.co.kr/learn/courses/30/lessons/87377
전력망을 둘로 나누기,완전탐색,Lv. 2,"23,193명",55%,https://school.programmers.co.kr/learn/courses/30/lessons/86971
최소직사각형,완전탐색,Lv. 1,"62,427명",76%,https://school.programmers.co.kr/learn/courses/30/lessons/86491
안티세포,월간 코드 챌린지 시즌3,Lv. 4,162명,3%,https://school.programmers.co.kr/learn/courses/30/lessons/86054
금과 은 운반하기,월간 코드 챌린지 시즌3,Lv. 3,"2,821명",18%,https://school.programmers.co.kr/learn/courses/30/lessons/86053
빛의 경로 사이클,월간 코드 챌린지 시즌3,Lv. 2,"4,174명",18%,https://school.programmers.co.kr/learn/courses/30/lessons/86052
없는 숫자 더하기,월간 코드 챌린지 시즌3,Lv. 1,"65,439명",87%,https://school.programmers.co.kr/learn/courses/30/lessons/86051
모음사전,완전탐색,Lv. 2,"28,157명",65%,https://school.programmers.co.kr/learn/courses/30/lessons/84512
퍼즐 조각 채우기,깊이/너비 우선 탐색(DFS/BFS),Lv. 3,"5,468명",17%,https://school.programmers.co.kr/learn/courses/30/lessons/84021
부족한 금액 계산하기,위클리 챌린지,Lv. 1,"57,406명",84%,https://school.programmers.co.kr/learn/courses/30/lessons/82612
시험장 나누기,2021 카카오 채용연계형 인턴십,Lv. 5,"1,107명",4%,https://school.programmers.co.kr/learn/courses/30/lessons/81305
미로 탈출,2021 카카오 채용연계형 인턴십,Lv. 4,"1,100명",10%,https://school.programmers.co.kr/learn/courses/30/lessons/81304
표 편집,2021 카카오 채용연계형 인턴십,Lv. 3,"7,087명",41%,https://school.programmers.co.kr/learn/courses/30/lessons/81303
거리두기 확인하기,2021 카카오 채용연계형 인턴십,Lv. 2,"16,927명",49%,https://school.programmers.co.kr/learn/courses/30/lessons/81302
숫자 문자열과 영단어,2021 카카오 채용연계형 인턴십,Lv. 1,"60,445명",73%,https://school.programmers.co.kr/learn/courses/30/lessons/81301
중력 작용,월간 코드 챌린지 시즌2,Lv. 5,58명,0%,https://school.programmers.co.kr/learn/courses/30/lessons/77887
110 옮기기,월간 코드 챌린지 시즌2,Lv. 3,"2,584명",36%,https://school.programmers.co.kr/learn/courses/30/lessons/77886
2개 이하로 다른 비트,월간 코드 챌린지 시즌2,Lv. 2,"10,257명",57%,https://school.programmers.co.kr/learn/courses/30/lessons/77885
약수의 개수와 덧셈,월간 코드 챌린지 시즌2,Lv. 1,"51,967명",85%,https://school.programmers.co.kr/learn/courses/30/lessons/77884
헤비 유저가 소유한 장소,2021 Dev-Matching: 웹 백엔드 개발자(상반기),Lv. 3,"20,220명",75%,https://school.programmers.co.kr/learn/courses/30/lessons/77487
다단계 칫솔 판매,2021 Dev-Matching: 웹 백엔드 개발자(상반기),Lv. 3,"9,865명",47%,https://school.programmers.co.kr/learn/courses/30/lessons/77486
행렬 테두리 회전하기,2021 Dev-Matching: 웹 백엔드 개발자(상반기),Lv. 2,"14,956명",50%,https://school.programmers.co.kr/learn/courses/30/lessons/77485
로또의 최고 순위와 최저 순위,2021 Dev-Matching: 웹 백엔드 개발자(상반기),Lv. 1,"50,898명",61%,https://school.programmers.co.kr/learn/courses/30/lessons/77484
RPG와 쿼리,월간 코드 챌린지 시즌2,Lv. 5,76명,1%,https://school.programmers.co.kr/learn/courses/30/lessons/76504
모두 0으로 만들기,월간 코드 챌린지 시즌2,Lv. 3,"2,514명",28%,https://school.programmers.co.kr/learn/courses/30/lessons/76503
괄호 회전하기,월간 코드 챌린지 시즌2,Lv. 2,"26,598명",69%,https://school.programmers.co.kr/learn/courses/30/lessons/76502
음양 더하기,월간 코드 챌린지 시즌2,Lv. 1,"66,371명",87%,https://school.programmers.co.kr/learn/courses/30/lessons/76501
매출 하락 최소화,2021 KAKAO BLIND RECRUITMENT,Lv. 4,"1,903명",14%,https://school.programmers.co.kr/learn/courses/30/lessons/72416
카드 짝 맞추기,2021 KAKAO BLIND RECRUITMENT,Lv. 3,"2,533명",21%,https://school.programmers.co.kr/learn/courses/30/lessons/72415
광고 삽입,2021 KAKAO BLIND RECRUITMENT,Lv. 3,"5,454명",37%,https://school.programmers.co.kr/learn/courses/30/lessons/72414
합승 택시 요금,2021 KAKAO BLIND RECRUITMENT,Lv. 3,"12,583명",42%,https://school.programmers.co.kr/learn/courses/30/lessons/72413
순위 검색,2021 KAKAO BLIND RECRUITMENT,Lv. 2,"10,964명",36%,https://school.programmers.co.kr/learn/courses/30/lessons/72412
메뉴 리뉴얼,2021 KAKAO BLIND RECRUITMENT,Lv. 2,"19,729명",52%,https://school.programmers.co.kr/learn/courses/30/lessons/72411
신규 아이디 추천,2021 KAKAO BLIND RECRUITMENT,Lv. 1,"46,719명",53%,https://school.programmers.co.kr/learn/courses/30/lessons/72410
가짜 해밀토니안,월간 코드 챌린지 시즌1,Lv. 5,116명,1%,https://school.programmers.co.kr/learn/courses/30/lessons/70132
스타 수열,월간 코드 챌린지 시즌1,Lv. 3,"2,322명",32%,https://school.programmers.co.kr/learn/courses/30/lessons/70130
이진 변환 반복하기,월간 코드 챌린지 시즌1,Lv. 2,"38,296명",78%,https://school.programmers.co.kr/learn/courses/30/lessons/70129
내적,월간 코드 챌린지 시즌1,Lv. 1,"62,619명",86%,https://school.programmers.co.kr/learn/courses/30/lessons/70128
문자열의 아름다움,월간 코드 챌린지 시즌1,Lv. 5,242명,3%,https://school.programmers.co.kr/learn/courses/30/lessons/68938
트리 트리오 중간값,월간 코드 챌린지 시즌1,Lv. 4,612명,18%,https://school.programmers.co.kr/learn/courses/30/lessons/68937
쿼드압축 후 개수 세기,월간 코드 챌린지 시즌1,Lv. 2,"12,774명",57%,https://school.programmers.co.kr/learn/courses/30/lessons/68936
3진법 뒤집기,월간 코드 챌린지 시즌1,Lv. 1,"46,427명",77%,https://school.programmers.co.kr/learn/courses/30/lessons/68935
짝수 행 세기,월간 코드 챌린지 시즌1,Lv. 4,371명,7%,https://school.programmers.co.kr/learn/courses/30/lessons/68647
풍선 터트리기,월간 코드 챌린지 시즌1,Lv. 3,"6,128명",46%,https://school.programmers.co.kr/learn/courses/30/lessons/68646
삼각 달팽이,월간 코드 챌린지 시즌1,Lv. 2,"16,914명",55%,https://school.programmers.co.kr/learn/courses/30/lessons/68645
두 개 뽑아서 더하기,월간 코드 챌린지 시즌1,Lv. 1,"60,882명",74%,https://school.programmers.co.kr/learn/courses/30/lessons/68644
동굴 탐험,2020 카카오 인턴십,Lv. 4,"1,810명",20%,https://school.programmers.co.kr/learn/courses/30/lessons/67260
경주로 건설,2020 카카오 인턴십,Lv. 3,"8,682명",49%,https://school.programmers.co.kr/learn/courses/30/lessons/67259
보석 쇼핑,2020 카카오 인턴십,Lv. 3,"12,345명",53%,https://school.programmers.co.kr/learn/courses/30/lessons/67258
수식 최대화,2020 카카오 인턴십,Lv. 2,"15,594명",49%,https://school.programmers.co.kr/learn/courses/30/lessons/67257
키패드 누르기,2020 카카오 인턴십,Lv. 1,"39,292명",54%,https://school.programmers.co.kr/learn/courses/30/lessons/67256
튜플,2019 카카오 개발자 겨울 인턴십,Lv. 2,"28,053명",65%,https://school.programmers.co.kr/learn/courses/30/lessons/64065
불량 사용자,2019 카카오 개발자 겨울 인턴십,Lv. 3,"12,863명",53%,https://school.programmers.co.kr/learn/courses/30/lessons/64064
호텔 방 배정,2019 카카오 개발자 겨울 인턴십,Lv. 4,"5,177명",36%,https://school.programmers.co.kr/learn/courses/30/lessons/64063
징검다리 건너기,2019 카카오 개발자 겨울 인턴십,Lv. 3,"10,375명",51%,https://school.programmers.co.kr/learn/courses/30/lessons/64062
크레인 인형뽑기 게임,2019 카카오 개발자 겨울 인턴십,Lv. 1,"49,189명",55%,https://school.programmers.co.kr/learn/courses/30/lessons/64061
우유와 요거트가 담긴 장바구니,Summer/Winter Coding(2019),Lv. 4,"19,856명",75%,https://school.programmers.co.kr/learn/courses/30/lessons/62284
지형 이동,Summer/Winter Coding(2019),Lv. 4,"2,055명",19%,https://school.programmers.co.kr/learn/courses/30/lessons/62050
멀쩡한 사각형,Summer/Winter Coding(2019),Lv. 2,"19,789명",44%,https://school.programmers.co.kr/learn/courses/30/lessons/62048
블록 이동하기,2020 KAKAO BLIND RECRUITMENT,Lv. 3,"4,781명",28%,https://school.programmers.co.kr/learn/courses/30/lessons/60063
외벽 점검,2020 KAKAO BLIND RECRUITMENT,Lv. 3,"5,693명",33%,https://school.programmers.co.kr/learn/courses/30/lessons/60062
기둥과 보 설치,2020 KAKAO BLIND RECRUITMENT,Lv. 3,"7,074명",37%,https://school.programmers.co.kr/learn/courses/30/lessons/60061
가사 검색,2020 KAKAO BLIND RECRUITMENT,Lv. 4,"5,082명",28%,https://school.programmers.co.kr/learn/courses/30/lessons/60060
자물쇠와 열쇠,2020 KAKAO BLIND RECRUITMENT,Lv. 3,"12,071명",42%,https://school.programmers.co.kr/learn/courses/30/lessons/60059
괄호 변환,2020 KAKAO BLIND RECRUITMENT,Lv. 2,"21,566명",49%,https://school.programmers.co.kr/learn/courses/30/lessons/60058
문자열 압축,2020 KAKAO BLIND RECRUITMENT,Lv. 2,"33,870명",45%,https://school.programmers.co.kr/learn/courses/30/lessons/60057
최댓값 구하기,"SUM, MAX, MIN",Lv. 1,"84,832명",81%,https://school.programmers.co.kr/learn/courses/30/lessons/59415
DATETIME에서 DATE로 형 변환,"String, Date",Lv. 2,"45,580명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59414
입양 시각 구하기(2),GROUP BY,Lv. 4,"37,522명",62%,https://school.programmers.co.kr/learn/courses/30/lessons/59413
입양 시각 구하기(1),GROUP BY,Lv. 2,"60,700명",89%,https://school.programmers.co.kr/learn/courses/30/lessons/59412
오랜 기간 보호한 동물(2),"String, Date",Lv. 3,"41,623명",86%,https://school.programmers.co.kr/learn/courses/30/lessons/59411
NULL 처리하기,IS NULL,Lv. 2,"63,069명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59410
중성화 여부 파악하기,"String, Date",Lv. 2,"48,378명",90%,https://school.programmers.co.kr/learn/courses/30/lessons/59409
중복 제거하기,"SUM, MAX, MIN",Lv. 2,"82,531명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59408
이름이 있는 동물의 아이디,IS NULL,Lv. 1,"67,280명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59407
동물 수 구하기,"SUM, MAX, MIN",Lv. 2,"83,956명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59406
상위 n개 레코드,SELECT,Lv. 1,"85,176명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59405
여러 기준으로 정렬하기,SELECT,Lv. 1,"86,020명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59404
동물의 아이디와 이름,SELECT,Lv. 1,"88,819명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59403
이름에 el이 들어가는 동물 찾기,"String, Date",Lv. 2,"54,697명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59047
루시와 엘라 찾기,"String, Date",Lv. 2,"51,982명",84%,https://school.programmers.co.kr/learn/courses/30/lessons/59046
보호소에서 중성화한 동물,JOIN,Lv. 4,"49,866명",86%,https://school.programmers.co.kr/learn/courses/30/lessons/59045
오랜 기간 보호한 동물(1),JOIN,Lv. 3,"56,367명",87%,https://school.programmers.co.kr/learn/courses/30/lessons/59044
있었는데요 없었습니다,JOIN,Lv. 3,"61,414명",87%,https://school.programmers.co.kr/learn/courses/30/lessons/59043
없어진 기록 찾기,JOIN,Lv. 3,"63,992명",82%,https://school.programmers.co.kr/learn/courses/30/lessons/59042
동명 동물 수 찾기,GROUP BY,Lv. 2,"74,033명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59041
고양이와 개는 몇 마리 있을까,GROUP BY,Lv. 2,"76,506명",89%,https://school.programmers.co.kr/learn/courses/30/lessons/59040
이름이 없는 동물의 아이디,IS NULL,Lv. 1,"67,500명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59039
최솟값 구하기,"SUM, MAX, MIN",Lv. 2,"85,480명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59038
어린 동물 찾기,SELECT,Lv. 1,"92,476명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59037
아픈 동물 찾기,SELECT,Lv. 1,"97,349명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59036
역순 정렬하기,SELECT,Lv. 1,"96,607명",91%,https://school.programmers.co.kr/learn/courses/30/lessons/59035
모든 레코드 조회하기,SELECT,Lv. 1,"95,241명",84%,https://school.programmers.co.kr/learn/courses/30/lessons/59034
쿠키 구입,Summer/Winter Coding(~2018),Lv. 4,"2,426명",35%,https://school.programmers.co.kr/learn/courses/30/lessons/49995
방문 길이,Summer/Winter Coding(~2018),Lv. 2,"19,141명",64%,https://school.programmers.co.kr/learn/courses/30/lessons/49994
스킬트리,Summer/Winter Coding(~2018),Lv. 2,"28,045명",61%,https://school.programmers.co.kr/learn/courses/30/lessons/49993
순위,그래프,Lv. 3,"15,815명",45%,https://school.programmers.co.kr/learn/courses/30/lessons/49191
방의 개수,그래프,Lv. 5,"3,091명",7%,https://school.programmers.co.kr/learn/courses/30/lessons/49190
가장 먼 노드,그래프,Lv. 3,"28,753명",51%,https://school.programmers.co.kr/learn/courses/30/lessons/49189
입국심사,이분탐색,Lv. 3,"27,709명",49%,https://school.programmers.co.kr/learn/courses/30/lessons/43238
징검다리,이분탐색,Lv. 4,"9,181명",31%,https://school.programmers.co.kr/learn/courses/30/lessons/43236
타겟 넘버,깊이/너비 우선 탐색(DFS/BFS),Lv. 2,"73,390명",65%,https://school.programmers.co.kr/learn/courses/30/lessons/43165
여행경로,깊이/너비 우선 탐색(DFS/BFS),Lv. 3,"29,279명",51%,https://school.programmers.co.kr/learn/courses/30/lessons/43164
단어 변환,깊이/너비 우선 탐색(DFS/BFS),Lv. 3,"41,434명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/43163
네트워크,깊이/너비 우선 탐색(DFS/BFS),Lv. 3,"54,649명",64%,https://school.programmers.co.kr/learn/courses/30/lessons/43162
정수 삼각형,동적계획법(Dynamic Programming),Lv. 3,"37,841명",64%,https://school.programmers.co.kr/learn/courses/30/lessons/43105
등굣길,동적계획법(Dynamic Programming),Lv. 3,"25,248명",62%,https://school.programmers.co.kr/learn/courses/30/lessons/42898
도둑질,동적계획법(Dynamic Programming),Lv. 4,"10,829명",41%,https://school.programmers.co.kr/learn/courses/30/lessons/42897
N으로 표현,동적계획법(Dynamic Programming),Lv. 3,"21,450명",31%,https://school.programmers.co.kr/learn/courses/30/lessons/42895
블록 게임,2019 KAKAO BLIND RECRUITMENT,Lv. 4,"1,968명",21%,https://school.programmers.co.kr/learn/courses/30/lessons/42894
매칭 점수,2019 KAKAO BLIND RECRUITMENT,Lv. 3,"2,645명",22%,https://school.programmers.co.kr/learn/courses/30/lessons/42893
길 찾기 게임,2019 KAKAO BLIND RECRUITMENT,Lv. 3,"9,344명",39%,https://school.programmers.co.kr/learn/courses/30/lessons/42892
무지의 먹방 라이브,2019 KAKAO BLIND RECRUITMENT,Lv. 4,"7,203명",35%,https://school.programmers.co.kr/learn/courses/30/lessons/42891
후보키,2019 KAKAO BLIND RECRUITMENT,Lv. 2,"11,714명",43%,https://school.programmers.co.kr/learn/courses/30/lessons/42890
실패율,2019 KAKAO BLIND RECRUITMENT,Lv. 1,"43,239명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/42889
오픈채팅방,2019 KAKAO BLIND RECRUITMENT,Lv. 2,"38,955명",59%,https://school.programmers.co.kr/learn/courses/30/lessons/42888
구명보트,탐욕법(Greedy),Lv. 2,"46,342명",72%,https://school.programmers.co.kr/learn/courses/30/lessons/42885
단속카메라,탐욕법(Greedy),Lv. 3,"20,443명",59%,https://school.programmers.co.kr/learn/courses/30/lessons/42884
큰 수 만들기,탐욕법(Greedy),Lv. 2,"35,586명",56%,https://school.programmers.co.kr/learn/courses/30/lessons/42883
체육복,탐욕법(Greedy),Lv. 1,"67,853명",59%,https://school.programmers.co.kr/learn/courses/30/lessons/42862
섬 연결하기,탐욕법(Greedy),Lv. 3,"19,386명",51%,https://school.programmers.co.kr/learn/courses/30/lessons/42861
조이스틱,탐욕법(Greedy),Lv. 2,"23,746명",39%,https://school.programmers.co.kr/learn/courses/30/lessons/42860
카펫,완전탐색,Lv. 2,"62,416명",74%,https://school.programmers.co.kr/learn/courses/30/lessons/42842
모의고사,완전탐색,Lv. 1,"90,812명",67%,https://school.programmers.co.kr/learn/courses/30/lessons/42840
소수 찾기,완전탐색,Lv. 2,"48,759명",57%,https://school.programmers.co.kr/learn/courses/30/lessons/42839
K번째수,정렬,Lv. 1,"113,391명",73%,https://school.programmers.co.kr/learn/courses/30/lessons/42748
H-Index,정렬,Lv. 2,"60,040명",68%,https://school.programmers.co.kr/learn/courses/30/lessons/42747
가장 큰 수,정렬,Lv. 2,"62,994명",58%,https://school.programmers.co.kr/learn/courses/30/lessons/42746
이중우선순위큐,힙(Heap),Lv. 3,"32,303명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/42628
디스크 컨트롤러,힙(Heap),Lv. 3,"26,368명",47%,https://school.programmers.co.kr/learn/courses/30/lessons/42627
더 맵게,힙(Heap),Lv. 2,"53,393명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/42626
프로세스,스택/큐,Lv. 2,"63,684명",66%,https://school.programmers.co.kr/learn/courses/30/lessons/42587
기능개발,스택/큐,Lv. 2,"80,448명",68%,https://school.programmers.co.kr/learn/courses/30/lessons/42586
주식가격,스택/큐,Lv. 2,"54,976명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/42584
다리를 지나는 트럭,스택/큐,Lv. 2,"49,134명",56%,https://school.programmers.co.kr/learn/courses/30/lessons/42583
베스트앨범,해시,Lv. 3,"47,474명",57%,https://school.programmers.co.kr/learn/courses/30/lessons/42579
의상,해시,Lv. 2,"72,982명",68%,https://school.programmers.co.kr/learn/courses/30/lessons/42578
전화번호 목록,해시,Lv. 2,"79,579명",66%,https://school.programmers.co.kr/learn/courses/30/lessons/42577
완주하지 못한 선수,해시,Lv. 1,"115,683명",60%,https://school.programmers.co.kr/learn/courses/30/lessons/42576
[3차] n진수 게임,2018 KAKAO BLIND RECRUITMENT,Lv. 2,"16,606명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/17687
[3차] 파일명 정렬,2018 KAKAO BLIND RECRUITMENT,Lv. 2,"15,608명",59%,https://school.programmers.co.kr/learn/courses/30/lessons/17686
[3차] 자동완성,2018 KAKAO BLIND RECRUITMENT,Lv. 4,"3,418명",32%,https://school.programmers.co.kr/learn/courses/30/lessons/17685
[3차] 압축,2018 KAKAO BLIND RECRUITMENT,Lv. 2,"16,130명",62%,https://school.programmers.co.kr/learn/courses/30/lessons/17684
[3차] 방금그곡,2018 KAKAO BLIND RECRUITMENT,Lv. 2,"11,499명",50%,https://school.programmers.co.kr/learn/courses/30/lessons/17683
[1차] 다트 게임,2018 KAKAO BLIND RECRUITMENT,Lv. 1,"32,698명",60%,https://school.programmers.co.kr/learn/courses/30/lessons/17682
[1차] 비밀지도,2018 KAKAO BLIND RECRUITMENT,Lv. 1,"44,230명",71%,https://school.programmers.co.kr/learn/courses/30/lessons/17681
[1차] 캐시,2018 KAKAO BLIND RECRUITMENT,Lv. 2,"25,122명",66%,https://school.programmers.co.kr/learn/courses/30/lessons/17680
[1차] 프렌즈4블록,2018 KAKAO BLIND RECRUITMENT,Lv. 2,"14,741명",58%,https://school.programmers.co.kr/learn/courses/30/lessons/17679
[1차] 셔틀버스,2018 KAKAO BLIND RECRUITMENT,Lv. 3,"8,573명",45%,https://school.programmers.co.kr/learn/courses/30/lessons/17678
[1차] 뉴스 클러스터링,2018 KAKAO BLIND RECRUITMENT,Lv. 2,"23,326명",64%,https://school.programmers.co.kr/learn/courses/30/lessons/17677
[1차] 추석 트래픽,2018 KAKAO BLIND RECRUITMENT,Lv. 3,"8,508명",23%,https://school.programmers.co.kr/learn/courses/30/lessons/17676
숫자 게임,Summer/Winter Coding(~2018),Lv. 3,"11,970명",61%,https://school.programmers.co.kr/learn/courses/30/lessons/12987
예상 대진표,2017 팁스타운,Lv. 2,"29,870명",70%,https://school.programmers.co.kr/learn/courses/30/lessons/12985
지형 편집,Summer/Winter Coding(~2018),Lv. 4,915명,21%,https://school.programmers.co.kr/learn/courses/30/lessons/12984
단어 퍼즐,2017 팁스타운,Lv. 4,"1,528명",26%,https://school.programmers.co.kr/learn/courses/30/lessons/12983
예산,Summer/Winter Coding(~2018),Lv. 1,"50,925명",78%,https://school.programmers.co.kr/learn/courses/30/lessons/12982
영어 끝말잇기,Summer/Winter Coding(~2018),Lv. 2,"35,327명",70%,https://school.programmers.co.kr/learn/courses/30/lessons/12981
점프와 순간 이동,Summer/Winter Coding(~2018),Lv. 2,"27,617명",72%,https://school.programmers.co.kr/learn/courses/30/lessons/12980
기지국 설치,Summer/Winter Coding(~2018),Lv. 3,"9,802명",58%,https://school.programmers.co.kr/learn/courses/30/lessons/12979
배달,Summer/Winter Coding(~2018),Lv. 2,"14,187명",54%,https://school.programmers.co.kr/learn/courses/30/lessons/12978
소수 만들기,Summer/Winter Coding(~2018),Lv. 1,"44,597명",64%,https://school.programmers.co.kr/learn/courses/30/lessons/12977
직사각형의 넓이,연습문제,Lv. 5,134명,1%,https://school.programmers.co.kr/learn/courses/30/lessons/12974
짝지어 제거하기,2017 팁스타운,Lv. 2,"38,976명",75%,https://school.programmers.co.kr/learn/courses/30/lessons/12973
스티커 모으기(2),Summer/Winter Coding(~2018),Lv. 3,"6,462명",56%,https://school.programmers.co.kr/learn/courses/30/lessons/12971
직사각형 별찍기,연습문제,Lv. 1,"63,146명",80%,https://school.programmers.co.kr/learn/courses/30/lessons/12969
x만큼 간격이 있는 n개의 숫자,연습문제,Lv. 1,"74,256명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12954
N개의 최소공배수,연습문제,Lv. 2,"31,701명",71%,https://school.programmers.co.kr/learn/courses/30/lessons/12953
N-Queen,연습문제,Lv. 2,"8,950명",42%,https://school.programmers.co.kr/learn/courses/30/lessons/12952
JadenCase 문자열 만들기,연습문제,Lv. 2,"46,528명",80%,https://school.programmers.co.kr/learn/courses/30/lessons/12951
행렬의 덧셈,연습문제,Lv. 1,"57,775명",81%,https://school.programmers.co.kr/learn/courses/30/lessons/12950
